id,user_contract_id,weeklyschedule_id,label_id,breakduration,starts_at,ends_at,real_breakduration,real_starts_at,real_ends_at,did_not_show,validated_at,validator_id,planned_hours_last_edited_at,planned_hours_last_edited_by_id,created_at,updated_at,locked_at,partner_id,account_id,planification_type
104942288,989441,5502556181,601365,,2024-03-29 11:00:00 UTC,2024-03-29 19:00:00 UTC,,2024-03-29 11:00:00 UTC,2024-03-29 19:00:00 UTC,0,2024-03-30 09:14:36.701475 UTC,635394,2024-03-25 15:27:41.97925 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-25 15:27:41.991418 UTC,,27f7a0ad-efcb-47bd-8f28-365d25df5063,55877,scheduled
104945366,918792,5502556181,601365,,2024-03-27 10:00:00 UTC,2024-03-27 19:00:00 UTC,,2024-03-27 10:00:00 UTC,2024-03-27 20:00:00 UTC,no,2024-03-29 12:29:00.796795 UTC,635394,2024-03-25 15:25:52.755648 UTC,635399,2024-03-18 14:29:49.949721 UTC,2024-03-27 19:38:43.317697 UTC,,773e66fa-43cd-4ac7-818c-f2a6bf7e401e,55877,scheduled
104952145,995295,5502556181,601365,,2024-03-29 10:00:00 UTC,2024-03-29 19:00:00 UTC,,2024-03-29 10:00:00 UTC,2024-03-29 19:00:00 UTC,0,2024-03-30 09:14:36.701475 UTC,635394,2024-03-25 15:26:57.561408 UTC,635399,2024-03-18 15:01:15.418999 UTC,2024-03-25 15:26:57.569357 UTC,,447fc683-6ea5-4eb7-84d2-979a3b8b2cae,55877,scheduled
104946364,1016369,5502556181,601365,,2024-03-27 10:00:00 UTC,2024-03-27 19:00:00 UTC,,2024-03-27 10:00:00 UTC,2024-03-27 19:00:00 UTC,false,2024-03-29 12:29:00.796795 UTC,635394,2024-03-25 15:29:03.789891 UTC,635399,2024-03-18 14:34:04.345629 UTC,2024-03-25 15:29:03.797056 UTC,,f877195d-93c6-4b99-8f59-197c07ccb4d1,55877,scheduled
104942248,918792,5502556181,601363,,2024-03-25 08:30:00 UTC,2024-03-25 17:30:00 UTC,,2024-03-25 08:30:00 UTC,2024-03-25 17:30:00 UTC,0,2024-03-26 10:38:41.943991 UTC,635394,2024-03-25 15:28:21.764842 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-25 15:28:21.770621 UTC,,1670c49a-9ac2-4df8-a41a-bc33e02414af,55877,scheduled
104951390,989447,5502556181,601363,,2024-03-27 09:00:00 UTC,2024-03-27 18:00:00 UTC,,2024-03-27 09:00:00 UTC,2024-03-27 18:00:00 UTC,0,2024-03-27 19:38:19.562849 UTC,635399,2024-03-25 15:25:59.760308 UTC,635399,2024-03-18 14:56:51.705673 UTC,2024-03-27 19:38:19.572139 UTC,,16fa42a3-a248-421c-9fe0-60159f5b352e,55877,scheduled
104944914,989447,5502556181,601365,,2024-03-30 10:00:00 UTC,2024-03-30 19:00:00 UTC,,2024-03-30 10:00:00 UTC,2024-03-30 20:00:00 UTC,0,2024-03-31 20:00:42.606897 UTC,635399,,,2024-03-18 14:28:25.089647 UTC,2024-03-31 20:00:42.727188 UTC,,e52ba7f2-aee6-4d54-a635-2cc3a28bad14,55877,scheduled
104950896,1016369,5502556181,601363,,2024-03-29 09:00:00 UTC,2024-03-29 17:00:00 UTC,,2024-03-29 09:00:00 UTC,2024-03-29 17:00:00 UTC,False,2024-03-30 09:14:36.701475 UTC,635394,2024-03-25 15:29:13.906104 UTC,635399,2024-03-18 14:54:10.910043 UTC,2024-03-25 15:29:13.914503 UTC,,9953b1cc-fcde-48d4-b3f1-709245aaa1e4,55877,scheduled
104942245,972897,5502556181,601363,,2024-03-29 09:00:00 UTC,2024-03-29 18:00:00 UTC,,2024-03-29 09:00:00 UTC,2024-03-29 18:00:00 UTC,FALSE,2024-03-30 09:14:36.701475 UTC,635394,2024-03-25 15:26:34.760589 UTC,635399,2024-03-18 14:17:24.202454 UTC,2024-03-25 15:26:34.780115 UTC,,380bf04c-8a5d-46f8-9454-1bbba62a4582,55877,scheduled
104944924,989447,5502556181,601363,,2024-03-29 09:00:00 UTC,2024-03-29 18:00:00 UTC,,2024-03-29 09:00:00 UTC,2024-03-29 18:00:00 UTC,False,2024-03-30 09:14:36.701475 UTC,635394,,,2024-03-18 14:28:30.042752 UTC,2024-03-18 14:28:30.042752 UTC,,42c116a9-6e1e-4ad2-b79d-4d9a570f3fbf,55877,scheduled
