id,name,created_at,updated_at,time_zone,default_language,city,street,zip,collective_agreement_id,cheat_sheet_hour_cut,social_tax,paid_breaks,show_real_and_planned_hours_on_planning,preferences,blocked,payroll_software_id,partner_id,country
63858,McFxxxxxxx,2023-08-21 13:31:25.127828 UTC,2024-03-19 02:40:17.754052 UTC,Europe/Brussels,FR,Ixexxxx,Chaxxxxxxxxxxxxxxxxxxxxx,105x,2,16,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":true,""directors_can_access_dashboard_rh"":true,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":false,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":true,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":true,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":null,""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,41ff8651-4d91-4239-8884-49c636d97940,BE
16142,Pitxxxxxxxxx,2021-07-28 13:16:44.325077 UTC,2022-09-03 11:45:16.713282 UTC,Europe/Paris,FR,Masxx,31 xxxxxxxxxxxxx,913xx,2,17,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,37cb76e0-7bb2-486f-b023-964861d8b20f,FR
73406,MASxxx,2024-01-30 15:08:33.328951 UTC,2024-04-05 15:32:54.386397 UTC,Europe/Paris,FR,PARxx,"62,xxxxxxxxxxxxxxxxxxxxxx",750xx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":true,""directors_can_access_dashboard_rh"":true,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":true,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":true,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":30,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,silae,6c442289-46eb-4517-b0f2-98b389cd9041,FR
56199,Atexxxxxxxxxxxx,2023-04-27 09:31:34.940968 UTC,2024-03-16 12:21:11.639163 UTC,Europe/Paris,FR,Aixxxxxxxxxxx,45 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,731xx,2,17,30,false,false,"{""allow_duplication_of_schedule_over_more_weeks"":true,""automatically_generate_employee_ids"":true,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":false,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":false,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":false,""minimum_days_for_timeoff_request"":30,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,2ef45a49-b4cb-4d30-b610-12d4faac7bf6,FR
5545,La xxxxxxxxxxxxxxxxxxx,2019-02-12 16:57:47.000354 UTC,2024-03-15 02:42:33.582631 UTC,Europe/Paris,FR,Touxxxxx,56 xxxxxxxxxxxxxxxxxxxxx,310xx,2,14,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":20,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,silae,4904171e-5bfb-4b79-b82c-5aa4f333a944,FR
3177,Merxxxxxxxxxxxxxxxxxxxxxxx,2018-01-03 10:18:59.833885 UTC,2024-03-10 02:43:25.339554 UTC,Europe/Paris,FR,Parxx,56 xxxxxxxxxxxxx,750xx,3,11,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""enabled_convesation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":30,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":false,""uses_timeclock"":false}",false,silae,92d0c5c9-2f9d-4661-9f2c-6cce6d870751,FR
23535,GROxxxxxxxxx,2022-01-26 09:51:14.494406 UTC,2024-03-29 02:43:55.561257 UTC,Europe/Paris,FR,TROxxx,2 Rxxxxxxxxxxxx,,2,17,20,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":true,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":true,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":true,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":true,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":true,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":30,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,silae,ed8ffff1-e67c-46b2-a8cd-beded10b18d1,FR
49691,Arkxxxxxxxxxxxxxxxxxxxxxxxxxx,2023-03-17 10:25:44.383391 UTC,2024-03-27 02:42:49.445953 UTC,Europe/Paris,FR,Parxx,21 xxxxxxxxxxxxx,750xx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":true,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":20,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,default,da78a972-a414-420f-a000-a4b05ac5c43e,FR
8823,SASxxxxxxxxxxxxxxxxxxxxxxxxxx,2020-03-09 16:19:38.674885 UTC,2024-03-25 02:40:42.697687 UTC,Europe/Paris,FR,MONxxxxxxxx,858xxxxxxxxxxxxxxxxxxx,340xx,2,13,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":null,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,silae,6a45f099-baa4-48a6-8355-ce5298473cea,FR
7134,Thaxxxxxxxxxxxxxxxxxxxxx,2019-09-19 14:20:56.190379 UTC,2024-03-11 02:42:05.472133 UTC,Europe/Paris,FR,Parxx,44 xxxxxxxxxxxxxx, 75xxx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":false,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":15,""prevent_overlapping_pay_periods"":true,""productivity_objective"":200,""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,e51a7375-239f-4316-be40-d9464b9deef2,FR
